Year,Gebietseinheit,Kategorien,GeoCode,Value
1996,Rotenburg (Wmme),Fälle,K03357,823
1997,Rotenburg (Wmme),Fälle,K03357,872
1998,Rotenburg (Wmme),Fälle,K03357,1218
1999,Rotenburg (Wmme),Fälle,K03357,1020
2000,Rotenburg (Wmme),Fälle,K03357,697
2001,Rotenburg (Wmme),Fälle,K03357,540
2002,Rotenburg (Wmme),Fälle,K03357,623
2003,Rotenburg (Wmme),Fälle,K03357,596
2004,Rotenburg (Wmme),Fälle,K03357,299
2005,Rotenburg (Wmme),Fälle,K03357,359
2006,Rotenburg (Wmme),Fälle,K03357,208
2007,Rotenburg (Wmme),Fälle,K03357,201
2008,Rotenburg (Wmme),Fälle,K03357,174
2009,Rotenburg (Wmme),Fälle,K03357,137
2010,Rotenburg (Wmme),Fälle,K03357,257
2011,Rotenburg (Wmme),Fälle,K03357,263
2012,Rotenburg (Wmme),Fälle,K03357,311
2013,Rotenburg (Wmme),Fälle,K03357,349
2014,Rotenburg (Wmme),Fälle,K03357,363
2015,Rotenburg (Wmme),Fälle,K03357,498
2016,Rotenburg (Wmme),Fälle,K03357,475
2017,Rotenburg (Wmme),Fälle,K03357,497
2018,Rotenburg (Wmme),Fälle,K03357,469
2019,Rotenburg (Wmme),Fälle,K03357,446
1991,Heidekreis,Fälle,K03358,379
1992,Heidekreis,Fälle,K03358,472
1993,Heidekreis,Fälle,K03358,706
1994,Heidekreis,Fälle,K03358,739
1995,Heidekreis,Fälle,K03358,633
1996,Heidekreis,Fälle,K03358,697
1997,Heidekreis,Fälle,K03358,649
1998,Heidekreis,Fälle,K03358,794
1999,Heidekreis,Fälle,K03358,731
2000,Heidekreis,Fälle,K03358,542
2001,Heidekreis,Fälle,K03358,626
2002,Heidekreis,Fälle,K03358,420
2003,Heidekreis,Fälle,K03358,513
2004,Heidekreis,Fälle,K03358,350
2005,Heidekreis,Fälle,K03358,296
2006,Heidekreis,Fälle,K03358,252
2007,Heidekreis,Fälle,K03358,216
2008,Heidekreis,Fälle,K03358,166
2009,Heidekreis,Fälle,K03358,145
2010,Heidekreis,Fälle,K03358,192
2011,Heidekreis,Fälle,K03358,177
2012,Heidekreis,Fälle,K03358,215
2013,Heidekreis,Fälle,K03358,280
2014,Heidekreis,Fälle,K03358,240
2015,Heidekreis,Fälle,K03358,353
2016,Heidekreis,Fälle,K03358,351
2017,Heidekreis,Fälle,K03358,338
2018,Heidekreis,Fälle,K03358,362
2019,Heidekreis,Fälle,K03358,424
1991,Stade,Fälle,K03359,740
1992,Stade,Fälle,K03359,857
1993,Stade,Fälle,K03359,942
1994,Stade,Fälle,K03359,1010
1995,Stade,Fälle,K03359,772
1996,Stade,Fälle,K03359,896
1997,Stade,Fälle,K03359,790
1998,Stade,Fälle,K03359,1251
1999,Stade,Fälle,K03359,952
2000,Stade,Fälle,K03359,787
2001,Stade,Fälle,K03359,679
2002,Stade,Fälle,K03359,695
2003,Stade,Fälle,K03359,562
2004,Stade,Fälle,K03359,482
2005,Stade,Fälle,K03359,583
2006,Stade,Fälle,K03359,392
2007,Stade,Fälle,K03359,331
2008,Stade,Fälle,K03359,327
2009,Stade,Fälle,K03359,259
2010,Stade,Fälle,K03359,433
2011,Stade,Fälle,K03359,437
2012,Stade,Fälle,K03359,471
2013,Stade,Fälle,K03359,544
2014,Stade,Fälle,K03359,420
2015,Stade,Fälle,K03359,583
2016,Stade,Fälle,K03359,438
2017,Stade,Fälle,K03359,602
2018,Stade,Fälle,K03359,616
2019,Stade,Fälle,K03359,552
1991,Uelzen,Fälle,K03360,207
1992,Uelzen,Fälle,K03360,212
1993,Uelzen,Fälle,K03360,369
1994,Uelzen,Fälle,K03360,527
1995,Uelzen,Fälle,K03360,429
1996,Uelzen,Fälle,K03360,449
1997,Uelzen,Fälle,K03360,419
1998,Uelzen,Fälle,K03360,430
1999,Uelzen,Fälle,K03360,468
2000,Uelzen,Fälle,K03360,312
2001,Uelzen,Fälle,K03360,268
2002,Uelzen,Fälle,K03360,213
2003,Uelzen,Fälle,K03360,239
2004,Uelzen,Fälle,K03360,142
2005,Uelzen,Fälle,K03360,156
2006,Uelzen,Fälle,K03360,96
2007,Uelzen,Fälle,K03360,92
2008,Uelzen,Fälle,K03360,81
2009,Uelzen,Fälle,K03360,58
2010,Uelzen,Fälle,K03360,91
2011,Uelzen,Fälle,K03360,77
2012,Uelzen,Fälle,K03360,100
2013,Uelzen,Fälle,K03360,150
2014,Uelzen,Fälle,K03360,99
2015,Uelzen,Fälle,K03360,98
2016,Uelzen,Fälle,K03360,149
2017,Uelzen,Fälle,K03360,190
2018,Uelzen,Fälle,K03360,132
2019,Uelzen,Fälle,K03360,201
1991,Verden,Fälle,K03361,529
1992,Verden,Fälle,K03361,615
1993,Verden,Fälle,K03361,535
1994,Verden,Fälle,K03361,393
1995,Verden,Fälle,K03361,470
1996,Verden,Fälle,K03361,439
1997,Verden,Fälle,K03361,429
1998,Verden,Fälle,K03361,388
1999,Verden,Fälle,K03361,448
2000,Verden,Fälle,K03361,394
2001,Verden,Fälle,K03361,407
2002,Verden,Fälle,K03361,375
2003,Verden,Fälle,K03361,358
2004,Verden,Fälle,K03361,296
2005,Verden,Fälle,K03361,317
2006,Verden,Fälle,K03361,231
2007,Verden,Fälle,K03361,203
2008,Verden,Fälle,K03361,229
2009,Verden,Fälle,K03361,187
2010,Verden,Fälle,K03361,240
2011,Verden,Fälle,K03361,209
2012,Verden,Fälle,K03361,450
2013,Verden,Fälle,K03361,408
2014,Verden,Fälle,K03361,347
2015,Verden,Fälle,K03361,366
2016,Verden,Fälle,K03361,390
2017,Verden,Fälle,K03361,279
2018,Verden,Fälle,K03361,261
2019,Verden,Fälle,K03361,252
1991,Weser-Ems,Fälle,,8133
1992,Weser-Ems,Fälle,,9276
1993,Weser-Ems,Fälle,,11006
1994,Weser-Ems,Fälle,,11899
1995,Weser-Ems,Fälle,,9133
1996,Weser-Ems,Fälle,,10516
1997,Weser-Ems,Fälle,,9602
1998,Weser-Ems,Fälle,,11547
1999,Weser-Ems,Fälle,,12641
2000,Weser-Ems,Fälle,,8753
2001,Weser-Ems,Fälle,,8357
2002,Weser-Ems,Fälle,,9015
2003,Weser-Ems,Fälle,,7800
2004,Weser-Ems,Fälle,,5742
2005,Weser-Ems,Fälle,,6842
2006,Weser-Ems,Fälle,,4862
2007,Weser-Ems,Fälle,,4630
2008,Weser-Ems,Fälle,,4195
2009,Weser-Ems,Fälle,,3511
2010,Weser-Ems,Fälle,,5069
2011,Weser-Ems,Fälle,,4890
2012,Weser-Ems,Fälle,,6360
2013,Weser-Ems,Fälle,,6708
2014,Weser-Ems,Fälle,,5753
2015,Weser-Ems,Fälle,,6428
2016,Weser-Ems,Fälle,,6142
2017,Weser-Ems,Fälle,,6031
2018,Weser-Ems,Fälle,,5770
2019,Weser-Ems,Fälle,,5732
1991,Delmenhorst-Stadt,Fälle,K03401,172
1992,Delmenhorst-Stadt,Fälle,K03401,197
1993,Delmenhorst-Stadt,Fälle,K03401,160
1994,Delmenhorst-Stadt,Fälle,K03401,177
1995,Delmenhorst-Stadt,Fälle,K03401,86
1996,Delmenhorst-Stadt,Fälle,K03401,105
1997,Delmenhorst-Stadt,Fälle,K03401,97
1998,Delmenhorst-Stadt,Fälle,K03401,101
1999,Delmenhorst-Stadt,Fälle,K03401,129
2000,Delmenhorst-Stadt,Fälle,K03401,128
2001,Delmenhorst-Stadt,Fälle,K03401,97
2002,Delmenhorst-Stadt,Fälle,K03401,145
2003,Delmenhorst-Stadt,Fälle,K03401,161
2004,Delmenhorst-Stadt,Fälle,K03401,102
2005,Delmenhorst-Stadt,Fälle,K03401,113
2006,Delmenhorst-Stadt,Fälle,K03401,102
2007,Delmenhorst-Stadt,Fälle,K03401,64
2008,Delmenhorst-Stadt,Fälle,K03401,64
2009,Delmenhorst-Stadt,Fälle,K03401,49
2010,Delmenhorst-Stadt,Fälle,K03401,61
2011,Delmenhorst-Stadt,Fälle,K03401,79
2012,Delmenhorst-Stadt,Fälle,K03401,94
2013,Delmenhorst-Stadt,Fälle,K03401,65
